Variable Name,Submodule,Parent Class,Scope,File,Line
pythainlp.augment.lm.fasttext.FastTextAug.model,augment,FastTextAug,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/lm/fasttext.py,37
pythainlp.augment.lm.fasttext.FastTextAug.model,augment,FastTextAug,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/lm/fasttext.py,39
pythainlp.augment.lm.phayathaibert.ThaiTextAugmenter.tokenizer,augment,ThaiTextAugmenter,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/lm/phayathaibert.py,31
pythainlp.augment.lm.phayathaibert.ThaiTextAugmenter.model_for_masked_lm,augment,ThaiTextAugmenter,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/lm/phayathaibert.py,32
pythainlp.augment.lm.phayathaibert.ThaiTextAugmenter.model,augment,ThaiTextAugmenter,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/lm/phayathaibert.py,35
pythainlp.augment.lm.phayathaibert.ThaiTextAugmenter.processor,augment,ThaiTextAugmenter,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/lm/phayathaibert.py,40
pythainlp.augment.lm.wangchanberta.Thai2transformersAug.model_name,augment,Thai2transformersAug,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/lm/wangchanberta.py,28
pythainlp.augment.lm.wangchanberta.Thai2transformersAug.target_tokenizer,augment,Thai2transformersAug,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/lm/wangchanberta.py,29
pythainlp.augment.lm.wangchanberta.Thai2transformersAug.tokenizer,augment,Thai2transformersAug,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/lm/wangchanberta.py,30
pythainlp.augment.lm.wangchanberta.Thai2transformersAug.fill_mask,augment,Thai2transformersAug,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/lm/wangchanberta.py,38
pythainlp.augment.lm.wangchanberta.Thai2transformersAug.MASK_TOKEN,augment,Thai2transformersAug,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/lm/wangchanberta.py,44
pythainlp.augment.lm.wangchanberta.Thai2transformersAug.input_text,augment,Thai2transformersAug,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/lm/wangchanberta.py,50
pythainlp.augment.word2vec.bpemb_wv.BPEmbAug.bpemb_temp,augment,BPEmbAug,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/word2vec/bpemb_wv.py,35
pythainlp.augment.word2vec.bpemb_wv.BPEmbAug.model,augment,BPEmbAug,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/word2vec/bpemb_wv.py,36
pythainlp.augment.word2vec.bpemb_wv.BPEmbAug.aug,augment,BPEmbAug,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/word2vec/bpemb_wv.py,47
pythainlp.augment.word2vec.bpemb_wv.BPEmbAug.sentence,augment,BPEmbAug,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/word2vec/bpemb_wv.py,71
pythainlp.augment.word2vec.bpemb_wv.BPEmbAug.temp,augment,BPEmbAug,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/word2vec/bpemb_wv.py,72
pythainlp.augment.word2vec.bpemb_wv.BPEmbAug.temp_new,augment,BPEmbAug,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/word2vec/bpemb_wv.py,73
pythainlp.augment.word2vec.bpemb_wv.BPEmbAug.t,augment,BPEmbAug,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/word2vec/bpemb_wv.py,75
pythainlp.augment.word2vec.core.Word2VecAug.model,augment,Word2VecAug,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/word2vec/core.py,36
pythainlp.augment.word2vec.core.Word2VecAug.model,augment,Word2VecAug,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/word2vec/core.py,40
pythainlp.augment.word2vec.ltw2v.LTW2VAug.ltw2v_wv,augment,LTW2VAug,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/word2vec/ltw2v.py,30
pythainlp.augment.word2vec.ltw2v.LTW2VAug.aug,augment,LTW2VAug,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/word2vec/ltw2v.py,46
pythainlp.augment.word2vec.thai2fit.Thai2fitAug.thai2fit_wv,augment,Thai2fitAug,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/word2vec/thai2fit.py,30
pythainlp.augment.word2vec.thai2fit.Thai2fitAug.aug,augment,Thai2fitAug,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/word2vec/thai2fit.py,47
pythainlp.augment.wordnet.WordNetAug.list_synsets,augment,WordNetAug,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/wordnet.py,140
pythainlp.augment.wordnet.WordNetAug.p2w_pos,augment,WordNetAug,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/wordnet.py,142
pythainlp.augment.wordnet.WordNetAug.list_synsets,augment,WordNetAug,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/wordnet.py,144
pythainlp.augment.wordnet.WordNetAug.list_synsets,augment,WordNetAug,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/wordnet.py,146
pythainlp.augment.wordnet.WordNetAug.temp,augment,WordNetAug,public,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/wordnet.py,209
pythainlp.chat.core.ChatBotModel.history,chat,ChatBotModel,public,/home/runner/work/pythainlp/pythainlp/pythainlp/chat/core.py,16
pythainlp.chat.core.ChatBotModel.model,chat,ChatBotModel,public,/home/runner/work/pythainlp/pythainlp/pythainlp/chat/core.py,41
pythainlp.classify.param_free.GzipModel.training_data,classify,GzipModel,public,/home/runner/work/pythainlp/pythainlp/pythainlp/classify/param_free.py,36
pythainlp.classify.param_free.GzipModel.cx2_list,classify,GzipModel,public,/home/runner/work/pythainlp/pythainlp/pythainlp/classify/param_free.py,37
pythainlp.classify.param_free.GzipModel.cx2_list,classify,GzipModel,public,/home/runner/work/pythainlp/pythainlp/pythainlp/classify/param_free.py,109
pythainlp.classify.param_free.GzipModel.training_data,classify,GzipModel,public,/home/runner/work/pythainlp/pythainlp/pythainlp/classify/param_free.py,110
pythainlp.cli.tag.SubAppBase.args,cli,SubAppBase,public,/home/runner/work/pythainlp/pythainlp/pythainlp/cli/tag.py,41
pythainlp.cli.tag.POSTaggingApp.separator,cli,POSTaggingApp,public,/home/runner/work/pythainlp/pythainlp/pythainlp/cli/tag.py,55
pythainlp.cli.tag.POSTaggingApp.run,cli,POSTaggingApp,public,/home/runner/work/pythainlp/pythainlp/pythainlp/cli/tag.py,56
pythainlp.cli.tokenize.SubAppBase.args,cli,SubAppBase,public,/home/runner/work/pythainlp/pythainlp/pythainlp/cli/tokenize.py,77
pythainlp.corpus.core._ResponseWrapper.status_code,corpus,_ResponseWrapper,public,/home/runner/work/pythainlp/pythainlp/pythainlp/corpus/core.py,42
pythainlp.corpus.core._ResponseWrapper.headers,corpus,_ResponseWrapper,public,/home/runner/work/pythainlp/pythainlp/pythainlp/corpus/core.py,43
pythainlp.corpus.core._ResponseWrapper._content,corpus,_ResponseWrapper,private,/home/runner/work/pythainlp/pythainlp/pythainlp/corpus/core.py,44
pythainlp.el._multiel.MultiEL.model_name,el,MultiEL,public,/home/runner/work/pythainlp/pythainlp/pythainlp/el/_multiel.py,18
pythainlp.el._multiel.MultiEL.device,el,MultiEL,public,/home/runner/work/pythainlp/pythainlp/pythainlp/el/_multiel.py,19
pythainlp.el._multiel.MultiEL._bela_run,el,MultiEL,private,/home/runner/work/pythainlp/pythainlp/pythainlp/el/_multiel.py,29
pythainlp.generate.core.Unigram.counts,generate,Unigram,public,/home/runner/work/pythainlp/pythainlp/pythainlp/generate/core.py,43
pythainlp.generate.core.Unigram.counts,generate,Unigram,public,/home/runner/work/pythainlp/pythainlp/pythainlp/generate/core.py,45
pythainlp.generate.core.Unigram._word_prob,generate,Unigram,private,/home/runner/work/pythainlp/pythainlp/pythainlp/generate/core.py,83
pythainlp.spell.words_spelling_correction.FastTextEncoder.model_dir,spell,FastTextEncoder,public,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/words_spelling_correction.py,68
pythainlp.spell.words_spelling_correction.FastTextEncoder.nn_model_path,spell,FastTextEncoder,public,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/words_spelling_correction.py,69
pythainlp.spell.words_spelling_correction.FastTextEncoder.bucket,spell,FastTextEncoder,public,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/words_spelling_correction.py,70
pythainlp.spell.words_spelling_correction.FastTextEncoder.nb_words,spell,FastTextEncoder,public,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/words_spelling_correction.py,71
pythainlp.spell.words_spelling_correction.FastTextEncoder.minn,spell,FastTextEncoder,public,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/words_spelling_correction.py,72
pythainlp.spell.words_spelling_correction.FastTextEncoder.maxn,spell,FastTextEncoder,public,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/words_spelling_correction.py,73
pythainlp.spell.words_spelling_correction.FastTextEncoder.words_for_suggestion,spell,FastTextEncoder,public,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/words_spelling_correction.py,77
pythainlp.spell.words_spelling_correction.FastTextEncoder.nn_session,spell,FastTextEncoder,public,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/words_spelling_correction.py,78
pythainlp.spell.words_spelling_correction.Words_Spelling_Correction.list_word,spell,Words_Spelling_Correction,public,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/words_spelling_correction.py,267
pythainlp.summarize.keybert.KeyBERT.ft_pipeline,summarize,KeyBERT,public,/home/runner/work/pythainlp/pythainlp/pythainlp/summarize/keybert.py,34
pythainlp.tag._tag_perceptron.PerceptronTagger.tagdict,tag,PerceptronTagger,public,/home/runner/work/pythainlp/pythainlp/pythainlp/tag/_tag_perceptron.py,221
pythainlp.tag._tag_perceptron.PerceptronTagger.classes,tag,PerceptronTagger,public,/home/runner/work/pythainlp/pythainlp/pythainlp/tag/_tag_perceptron.py,222
pythainlp.tag.crfchunk.CRFchunk._model_file_ctx,tag,CRFchunk,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tag/crfchunk.py,90
pythainlp.tag.crfchunk.CRFchunk._model_file_ctx,tag,CRFchunk,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tag/crfchunk.py,112
pythainlp.tag.named_entity.NER.engine,tag,NER,public,/home/runner/work/pythainlp/pythainlp/pythainlp/tag/named_entity.py,51
pythainlp.tag.named_entity.NER.engine,tag,NER,public,/home/runner/work/pythainlp/pythainlp/pythainlp/tag/named_entity.py,55
pythainlp.tag.named_entity.NER.engine,tag,NER,public,/home/runner/work/pythainlp/pythainlp/pythainlp/tag/named_entity.py,61
pythainlp.tag.named_entity.NER.engine,tag,NER,public,/home/runner/work/pythainlp/pythainlp/pythainlp/tag/named_entity.py,65
pythainlp.tag.named_entity.NER.engine,tag,NER,public,/home/runner/work/pythainlp/pythainlp/pythainlp/tag/named_entity.py,73
pythainlp.tag.named_entity.NER.engine,tag,NER,public,/home/runner/work/pythainlp/pythainlp/pythainlp/tag/named_entity.py,78
pythainlp.tag.thainer.ThaiNameTagger.pos_tag_name,tag,ThaiNameTagger,public,/home/runner/work/pythainlp/pythainlp/pythainlp/tag/thainer.py,128
pythainlp.tag.wangchanberta_onnx.WngchanBerta_ONNX._json,tag,WngchanBerta_ONNX,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tag/wangchanberta_onnx.py,55
pythainlp.tag.wangchanberta_onnx.WngchanBerta_ONNX.id2tag,tag,WngchanBerta_ONNX,public,/home/runner/work/pythainlp/pythainlp/pythainlp/tag/wangchanberta_onnx.py,56
pythainlp.tag.wangchanberta_onnx.WngchanBerta_ONNX._s,tag,WngchanBerta_ONNX,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tag/wangchanberta_onnx.py,101
pythainlp.tokenize.attacut.AttacutTokenizer._MODEL_NAME,tokenize,AttacutTokenizer,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/attacut.py,23
pythainlp.tokenize.attacut.AttacutTokenizer._MODEL_NAME,tokenize,AttacutTokenizer,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/attacut.py,26
pythainlp.tokenize.attacut.AttacutTokenizer._tokenizer,tokenize,AttacutTokenizer,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/attacut.py,28
pythainlp.tokenize.core.Tokenizer.__trie_dict,tokenize,Tokenizer,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/core.py,944
pythainlp.tokenize.core.Tokenizer.__trie_dict,tokenize,Tokenizer,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/core.py,946
pythainlp.tokenize.core.Tokenizer.__engine,tokenize,Tokenizer,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/core.py,996
pythainlp.tokenize.han_solo.Featurizer.N,tokenize,Featurizer,public,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/han_solo.py,61
pythainlp.tokenize.han_solo.Featurizer.delimiter,tokenize,Featurizer,public,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/han_solo.py,62
pythainlp.tokenize.han_solo.Featurizer.radius,tokenize,Featurizer,public,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/han_solo.py,63
pythainlp.tokenize.longest.LongestMatchTokenizer.__trie,tokenize,LongestMatchTokenizer,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/longest.py,52
pythainlp.tokenize.multi_cut.LatticeString.unique,tokenize,LatticeString,public,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/multi_cut.py,45
pythainlp.tokenize.multi_cut.LatticeString.multi,tokenize,LatticeString,public,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/multi_cut.py,47
pythainlp.translate.core.Translate.model,translate,Translate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/core.py,75
pythainlp.translate.core.Translate.model,translate,Translate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/core.py,79
pythainlp.translate.core.Translate.model,translate,Translate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/core.py,83
pythainlp.translate.core.Translate.model,translate,Translate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/core.py,87
pythainlp.translate.core.Translate.model,translate,Translate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/core.py,91
pythainlp.translate.core.Translate.model,translate,Translate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/core.py,95
pythainlp.translate.en_th.EnThTranslator._model,translate,EnThTranslator,private,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/en_th.py,89
pythainlp.translate.small100.Small100Translator.pretrained,translate,Small100Translator,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/small100.py,36
pythainlp.translate.small100.Small100Translator.model,translate,Small100Translator,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/small100.py,37
pythainlp.translate.small100.Small100Translator.tgt_lang,translate,Small100Translator,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/small100.py,40
pythainlp.translate.small100.Small100Translator.model,translate,Small100Translator,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/small100.py,42
pythainlp.translate.small100.Small100Translator.tokenizer,translate,Small100Translator,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/small100.py,74
pythainlp.translate.small100.Small100Translator.tgt_lang,translate,Small100Translator,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/small100.py,77
pythainlp.translate.small100.Small100Translator.translated,translate,Small100Translator,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/small100.py,78
pythainlp.translate.th_fr.ThFrTranslator.tokenizer_thfr,translate,ThFrTranslator,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/th_fr.py,49
pythainlp.translate.th_fr.ThFrTranslator.model_thfr,translate,ThFrTranslator,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/th_fr.py,50
pythainlp.translate.th_fr.ThFrTranslator.model_thfr,translate,ThFrTranslator,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/th_fr.py,52
pythainlp.translate.th_fr.ThFrTranslator.translated,translate,ThFrTranslator,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/th_fr.py,73
pythainlp.translate.tokenization_small100.SMALL100Tokenizer.sp_model_kwargs,translate,SMALL100Tokenizer,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,158
pythainlp.translate.tokenization_small100.SMALL100Tokenizer.language_codes,translate,SMALL100Tokenizer,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,162
pythainlp.translate.tokenization_small100.SMALL100Tokenizer.lang_code_to_token,translate,SMALL100Tokenizer,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,164
pythainlp.translate.tokenization_small100.SMALL100Tokenizer.vocab_file,translate,SMALL100Tokenizer,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,192
pythainlp.translate.tokenization_small100.SMALL100Tokenizer.encoder,translate,SMALL100Tokenizer,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,196
