Variable Name,Submodule,Scope,File,Line
pythainlp.ancient.aksonhan.unknown,ancient,public,/home/runner/work/pythainlp/pythainlp/pythainlp/ancient/aksonhan.py,18
pythainlp.ancient.aksonhan.unknown,ancient,public,/home/runner/work/pythainlp/pythainlp/pythainlp/ancient/aksonhan.py,19
pythainlp.ancient.aksonhan.unknown,ancient,public,/home/runner/work/pythainlp/pythainlp/pythainlp/ancient/aksonhan.py,20
pythainlp.cli.stdout,cli,public,/home/runner/work/pythainlp/pythainlp/pythainlp/cli/__init__.py,18
pythainlp.cli.stderr,cli,public,/home/runner/work/pythainlp/pythainlp/pythainlp/cli/__init__.py,19
pythainlp.coref.core._MODEL,coref,private,/home/runner/work/pythainlp/pythainlp/pythainlp/coref/core.py,8
pythainlp.corpus.tnc.__all__,corpus,public,/home/runner/work/pythainlp/pythainlp/pythainlp/corpus/tnc.py,8
pythainlp.corpus.tnc._UNIGRAM_FILENAME,corpus,private,/home/runner/work/pythainlp/pythainlp/pythainlp/corpus/tnc.py,19
pythainlp.corpus.tnc._BIGRAM_CORPUS_NAME,corpus,private,/home/runner/work/pythainlp/pythainlp/pythainlp/corpus/tnc.py,20
pythainlp.corpus.tnc._TRIGRAM_CORPUS_NAME,corpus,private,/home/runner/work/pythainlp/pythainlp/pythainlp/corpus/tnc.py,21
pythainlp.corpus.ttc.__all__,corpus,public,/home/runner/work/pythainlp/pythainlp/pythainlp/corpus/ttc.py,12
pythainlp.corpus.ttc._UNIGRAM_FILENAME,corpus,private,/home/runner/work/pythainlp/pythainlp/pythainlp/corpus/ttc.py,18
pythainlp.corpus.volubilis._VOLUBILIS_WORDS,corpus,private,/home/runner/work/pythainlp/pythainlp/pythainlp/corpus/volubilis.py,10
pythainlp.corpus.volubilis._VOLUBILIS_FILENAME,corpus,private,/home/runner/work/pythainlp/pythainlp/pythainlp/corpus/volubilis.py,11
pythainlp.corpus.wikipedia._WIKIPEDIA_TITLES,corpus,private,/home/runner/work/pythainlp/pythainlp/pythainlp/corpus/wikipedia.py,10
pythainlp.corpus.wikipedia._WIKIPEDIA_TITLES_FILENAME,corpus,private,/home/runner/work/pythainlp/pythainlp/pythainlp/corpus/wikipedia.py,11
pythainlp.el.__all__,el,public,/home/runner/work/pythainlp/pythainlp/pythainlp/el/__init__.py,6
pythainlp.generate.__all__,generate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/generate/__init__.py,6
pythainlp.generate.thai2fit.__all__,generate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/generate/thai2fit.py,12
pythainlp.generate.thai2fit.imdb,generate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/generate/thai2fit.py,41
pythainlp.generate.thai2fit.dummy_df,generate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/generate/thai2fit.py,42
pythainlp.generate.thai2fit.thwiki,generate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/generate/thai2fit.py,45
pythainlp.generate.thai2fit.thwiki_itos,generate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/generate/thai2fit.py,61
pythainlp.generate.thai2fit.thwiki_vocab,generate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/generate/thai2fit.py,62
pythainlp.generate.thai2fit.tt,generate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/generate/thai2fit.py,65
pythainlp.generate.thai2fit.processor,generate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/generate/thai2fit.py,71
pythainlp.generate.thai2fit.data_lm,generate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/generate/thai2fit.py,75
pythainlp.generate.thai2fit.config,generate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/generate/thai2fit.py,85
pythainlp.generate.thai2fit.trn_args,generate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/generate/thai2fit.py,99
pythainlp.generate.thai2fit.learn,generate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/generate/thai2fit.py,101
pythainlp.lm.__all__,lm,public,/home/runner/work/pythainlp/pythainlp/pythainlp/lm/__init__.py,5
pythainlp.parse.core._tagger_name,parse,private,/home/runner/work/pythainlp/pythainlp/pythainlp/parse/core.py,9
pythainlp.phayathaibert.__all__,phayathaibert,public,/home/runner/work/pythainlp/pythainlp/pythainlp/phayathaibert/__init__.py,6
pythainlp.phayathaibert.core._PAT_URL,phayathaibert,private,/home/runner/work/pythainlp/pythainlp/pythainlp/phayathaibert/core.py,18
pythainlp.phayathaibert.core._model_name,phayathaibert,private,/home/runner/work/pythainlp/pythainlp/pythainlp/phayathaibert/core.py,20
pythainlp.phayathaibert.core._tokenizer,phayathaibert,private,/home/runner/work/pythainlp/pythainlp/pythainlp/phayathaibert/core.py,21
pythainlp.spell.phunspell.pspell,spell,public,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/phunspell.py,22
pythainlp.spell.symspellpy._UNIGRAM_FILENAME,spell,private,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/symspellpy.py,28
pythainlp.spell.symspellpy._BIGRAM_CORPUS_NAME,spell,private,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/symspellpy.py,29
pythainlp.spell.symspellpy._sym_spell,spell,private,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/symspellpy.py,31
pythainlp.spell.symspellpy._unigram_file_ctx,spell,private,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/symspellpy.py,32
pythainlp.spell.symspellpy._load_lock,spell,private,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/symspellpy.py,35
pythainlp.spell.wanchanberta_thai_grammarly.use_cuda,spell,public,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/wanchanberta_thai_grammarly.py,27
pythainlp.spell.wanchanberta_thai_grammarly.device,spell,public,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/wanchanberta_thai_grammarly.py,28
pythainlp.spell.wanchanberta_thai_grammarly.tokenizer,spell,public,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/wanchanberta_thai_grammarly.py,29
pythainlp.spell.wanchanberta_thai_grammarly.tagging_model,spell,public,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/wanchanberta_thai_grammarly.py,56
pythainlp.spell.wanchanberta_thai_grammarly.tagging_model,spell,public,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/wanchanberta_thai_grammarly.py,58
pythainlp.spell.wanchanberta_thai_grammarly.ids_to_labels,spell,public,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/wanchanberta_thai_grammarly.py,59
pythainlp.spell.wanchanberta_thai_grammarly.mlm_model,spell,public,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/wanchanberta_thai_grammarly.py,100
pythainlp.spell.wanchanberta_thai_grammarly.mlm_model,spell,public,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/wanchanberta_thai_grammarly.py,104
pythainlp.spell.words_spelling_correction._WSC,spell,private,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/words_spelling_correction.py,271
pythainlp.summarize.freq._STOPWORDS,summarize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/summarize/freq.py,16
pythainlp.tag.thai_nner.__all__,tag,public,/home/runner/work/pythainlp/pythainlp/pythainlp/tag/thai_nner.py,18
pythainlp.tag.thainer.__all__,tag,public,/home/runner/work/pythainlp/pythainlp/pythainlp/tag/thainer.py,8
pythainlp.tag.thainer._TOKENIZER_ENGINE,tag,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tag/thainer.py,21
pythainlp.tokenize._utils._DIGITS_WITH_SEPARATOR,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/_utils.py,11
pythainlp.tokenize.attacut._tokenizers_lock,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/attacut.py,35
pythainlp.tokenize.budoux._parser,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/budoux.py,18
pythainlp.tokenize.budoux._parser_lock,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/budoux.py,19
pythainlp.tokenize.core._RE_WHITESPACE,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/core.py,28
pythainlp.tokenize.core._RE_WORD_CHAR,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/core.py,29
pythainlp.tokenize.crfcut._ENDERS,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/crfcut.py,27
pythainlp.tokenize.crfcut._STARTERS,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/crfcut.py,80
pythainlp.tokenize.crfcut._CRFCUT_DATA_FILENAME,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/crfcut.py,177
pythainlp.tokenize.crfcut._tagger,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/crfcut.py,178
pythainlp.tokenize.etcc._PAT_ENDING_CHAR,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/etcc.py,37
pythainlp.tokenize.etcc._RE_ENDING_CHAR,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/etcc.py,38
pythainlp.tokenize.han_solo._tagger,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/han_solo.py,22
pythainlp.tokenize.han_solo._model_file_ctx,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/han_solo.py,23
pythainlp.tokenize.han_solo._load_lock,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/han_solo.py,24
pythainlp.tokenize.han_solo._to_feature,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/han_solo.py,154
pythainlp.tokenize.longest._FRONT_DEP_CHAR,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/longest.py,23
pythainlp.tokenize.longest._REAR_DEP_CHAR,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/longest.py,39
pythainlp.tokenize.longest._TRAILING_CHAR,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/longest.py,40
pythainlp.tokenize.longest._RE_NONTHAI,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/longest.py,42
pythainlp.tokenize.longest._KNOWN,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/longest.py,44
pythainlp.tokenize.longest._UNKNOWN,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/longest.py,45
pythainlp.tokenize.longest._tokenizers_lock,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/longest.py,163
pythainlp.tokenize.multi_cut._RE_NONTHAI,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/multi_cut.py,51
pythainlp.tokenize.multi_cut._PAT_NONTHAI,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/multi_cut.py,57
pythainlp.tokenize.nercut._thainer,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/nercut.py,19
pythainlp.tokenize.newmm._PAT_NONTHAI,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/newmm.py,32
pythainlp.tokenize.newmm._PAT_THAI_TWOCHARS,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/newmm.py,43
pythainlp.tokenize.newmm._MAX_GRAPH_SIZE,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/newmm.py,47
pythainlp.tokenize.newmm._TEXT_SCAN_POINT,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/newmm.py,50
pythainlp.tokenize.newmm._TEXT_SCAN_LEFT,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/newmm.py,51
pythainlp.tokenize.newmm._TEXT_SCAN_RIGHT,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/newmm.py,52
pythainlp.tokenize.newmm._TEXT_SCAN_BEGIN,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/newmm.py,53
pythainlp.tokenize.newmm._TEXT_SCAN_END,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/newmm.py,54
pythainlp.tokenize.nlpo3._NLPO3_DEFAULT_DICT_NAME,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/nlpo3.py,17
pythainlp.tokenize.nlpo3._NLPO3_DEFAULT_DICT,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/nlpo3.py,18
pythainlp.tokenize.nlpo3._dict_file_ctx,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/nlpo3.py,19
pythainlp.tokenize.nlpo3._load_lock,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/nlpo3.py,20
pythainlp.tokenize.oskut._DEFAULT_ENGINE,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/oskut.py,19
pythainlp.tokenize.oskut._engine_lock,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/oskut.py,20
pythainlp.tokenizeicu._thread_local,tokenizeicu,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/pyicu.py,21
pythainlp.tokenize.sefr_cut._DEFAULT_ENGINE,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/sefr_cut.py,18
pythainlp.tokenize.sefr_cut._engine_lock,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/sefr_cut.py,19
pythainlp.tokenize.tcc._RE_TCC,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/tcc.py,20
pythainlp.tokenize.tcc._PAT_TCC,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/tcc.py,59
pythainlp.tokenize.tcc_p._RE_TCC,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/tcc_p.py,21
pythainlp.tokenize.tcc_p._PAT_TCC,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/tcc_p.py,59
pythainlp.tokenize.wtsplit._MODEL,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/wtsplit.py,16
pythainlp.tokenize.wtsplit._MODEL_NAME,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/wtsplit.py,17
pythainlp.tokenize.wtsplit._model_lock,tokenize,private,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/wtsplit.py,18
pythainlp.translate.__all__,translate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/__init__.py,6
pythainlp.translate.en_th._EN_TH_MODEL_NAME,translate,private,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/en_th.py,32
pythainlp.translate.en_th._EN_TH_FILE_NAME,translate,private,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/en_th.py,34
pythainlp.translate.en_th._TH_EN_MODEL_NAME,translate,private,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/en_th.py,36
pythainlp.translate.en_th._TH_EN_FILE_NAME,translate,private,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/en_th.py,38
pythainlp.translate.tokenization_small100.SPIECE_UNDERLINE,translate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,37
pythainlp.translate.tokenization_small100.VOCAB_FILES_NAMES,translate,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,39
